side,os,cache,n,min,max,avg,median,stddev
flox-consolidated,macos-latest,cold,1,147.0,147.0,147.0,147.0,0.0
flox-mirror,macos-latest,cold,1,358.0,358.0,358.0,358.0,0.0
flox-noaction-consolidated,macos-latest,cold,1,158.0,158.0,158.0,158.0,0.0
flox-noaction-mirror,macos-latest,cold,1,353.0,353.0,353.0,353.0,0.0
flox-nocache-consolidated,macos-latest,cold,1,155.0,155.0,155.0,155.0,0.0
flox-nocache-mirror,macos-latest,cold,1,363.0,363.0,363.0,363.0,0.0
mise-consolidated,macos-latest,cold,1,33.0,33.0,33.0,33.0,0.0
mise-mirror,macos-latest,cold,1,55.0,55.0,55.0,55.0,0.0
traditional,macos-latest,cold,1,206.0,206.0,206.0,206.0,0.0
flox-consolidated,macos-latest,warm,1,166.0,166.0,166.0,166.0,0.0
flox-mirror,macos-latest,warm,1,399.0,399.0,399.0,399.0,0.0
flox-noaction-consolidated,macos-latest,warm,1,181.0,181.0,181.0,181.0,0.0
flox-noaction-mirror,macos-latest,warm,1,417.0,417.0,417.0,417.0,0.0
flox-nocache-consolidated,macos-latest,warm,1,184.0,184.0,184.0,184.0,0.0
flox-nocache-mirror,macos-latest,warm,1,342.0,342.0,342.0,342.0,0.0
mise-consolidated,macos-latest,warm,1,22.0,22.0,22.0,22.0,0.0
mise-mirror,macos-latest,warm,1,43.0,43.0,43.0,43.0,0.0
traditional,macos-latest,warm,1,38.0,38.0,38.0,38.0,0.0
flox-baked,ubuntu-latest,cold,1,57.0,57.0,57.0,57.0,0.0
flox-consolidated,ubuntu-latest,cold,1,63.0,63.0,63.0,63.0,0.0
flox-mirror,ubuntu-latest,cold,1,61.0,61.0,61.0,61.0,0.0
flox-noaction-consolidated,ubuntu-latest,cold,1,72.0,72.0,72.0,72.0,0.0
flox-noaction-mirror,ubuntu-latest,cold,1,65.0,65.0,65.0,65.0,0.0
flox-nocache-consolidated,ubuntu-latest,cold,1,60.0,60.0,60.0,60.0,0.0
flox-nocache-mirror,ubuntu-latest,cold,1,71.0,71.0,71.0,71.0,0.0
mise-consolidated,ubuntu-latest,cold,1,23.0,23.0,23.0,23.0,0.0
mise-mirror,ubuntu-latest,cold,1,26.0,26.0,26.0,26.0,0.0
traditional,ubuntu-latest,cold,1,20.0,20.0,20.0,20.0,0.0
flox-baked,ubuntu-latest,warm,1,61.0,61.0,61.0,61.0,0.0
flox-consolidated,ubuntu-latest,warm,1,67.0,67.0,67.0,67.0,0.0
flox-mirror,ubuntu-latest,warm,1,73.0,73.0,73.0,73.0,0.0
flox-noaction-consolidated,ubuntu-latest,warm,1,68.0,68.0,68.0,68.0,0.0
flox-noaction-mirror,ubuntu-latest,warm,1,70.0,70.0,70.0,70.0,0.0
flox-nocache-consolidated,ubuntu-latest,warm,1,65.0,65.0,65.0,65.0,0.0
flox-nocache-mirror,ubuntu-latest,warm,1,61.0,61.0,61.0,61.0,0.0
mise-consolidated,ubuntu-latest,warm,1,20.0,20.0,20.0,20.0,0.0
mise-mirror,ubuntu-latest,warm,1,16.0,16.0,16.0,16.0,0.0
traditional,ubuntu-latest,warm,1,16.0,16.0,16.0,16.0,0.0
